,ERBB2 (M),SETD2 (M),RAC1/7p (Amp)
ERBB2 (M),-2.76,-0.0,-1.15
SETD2 (M),-0.0,-3.01,-1.5
RAC1/7p (Amp),-1.18,-1.47,-0.18
