,ERBB2 (M),SETD2 (M),ASXL1/20q (Amp)
ERBB2 (M),-2.29,-0.16,-1.9
SETD2 (M),-0.14,-2.58,-2.06
ASXL1/20q (Amp),-2.03,-2.11,0.72
