,ERBB2 (M),SETD2 (M),TP53/17p (Del)
ERBB2 (M),-2.71,-0.0,-1.67
SETD2 (M),-0.0,-3.02,-1.75
TP53/17p (Del),-1.71,-1.78,-0.29
