,ERBB2 (M),SETD2 (M),FBXW7/4q (Del)
ERBB2 (M),-2.95,-0.0,-0.86
SETD2 (M),-0.0,-3.17,-1.87
FBXW7/4q (Del),-0.89,-1.85,-0.93
