,ERBB2 (M),SETD2 (M),SMAD4/18q (Del)
ERBB2 (M),-2.43,-0.15,-1.64
SETD2 (M),-0.07,-2.62,-2.3
SMAD4/18q (Del),-1.84,-2.37,0.54
