,T0,T1,T2,C_2
T0,-0.82,-0.47,0.0,-0.05
T1,-0.11,-1.9,0.0,0.01
T2,0.43,0.0,-2.31,-0.19
C_2,-0.73,0.01,-0.0,-1.61
