,T0,T1,T2,B_1
T0,-0.84,-1.09,0.0,0.0
T1,-0.0,-1.92,0.0,-0.0
T2,0.32,0.42,-2.26,-0.0
B_1,-0.21,0.44,-0.28,-0.0
