,SMAD4 (M),PIK3CA (M),EGFR (M),RB1/13q (Del)
SMAD4 (M),-3.2,-0.04,-0.47,-0.45
PIK3CA (M),-0.0,-2.67,-0.42,-0.84
EGFR (M),-0.02,-0.0,-0.94,-0.1
RB1/13q (Del),-0.79,-0.18,-0.01,-1.19
