,SMAD4 (M),PIK3CA (M),EGFR (M),EGFR/7p (Amp)
SMAD4 (M),-3.17,-0.01,-0.37,-0.59
PIK3CA (M),-0.01,-2.68,-0.34,-0.6
EGFR (M),-0.0,-0.0,-1.14,0.69
EGFR/7p (Amp),-0.47,-0.64,0.0,-0.81
