,T0,T1,T2,A_0
T0,-0.81,-1.24,0.0,0.38
T1,0.04,-2.01,-0.0,-0.41
T2,0.23,0.48,-2.1,-1.23
A_0,-0.85,-0.34,-0.04,-2.29
