,T0,T1,T2,E_0
T0,-0.78,-0.92,0.24,0.26
T1,-0.04,-1.88,-0.0,-0.03
T2,-0.0,0.49,-2.09,-0.0
E_0,-0.0,-0.29,-0.12,-2.55
