,T0,T1,T2,B_0
T0,-0.76,-1.01,0.26,-0.0
T1,-0.0,-1.9,0.0,0.1
T2,-0.0,0.49,-2.07,-0.1
B_0,-0.14,0.38,-0.33,-1.66
