,T0,T1,T2,B_2
T0,-0.79,-0.65,0.0,-0.01
T1,-0.2,-2.02,0.0,0.41
T2,0.26,0.46,-2.15,-0.02
B_2,-0.19,0.0,-0.01,-1.59
