,T0,T1,T2,C_0
T0,-0.89,-0.45,-0.46,-0.27
T1,-0.23,-1.82,0.45,-0.05
T2,0.07,0.59,-2.21,-0.36
C_0,-1.1,-0.15,-0.03,-1.57
