,T0,T1,T2,E_2
T0,-1.02,-0.28,-0.2,0.64
T1,-0.47,-1.74,0.0,-0.0
T2,-0.34,0.88,-2.29,0.56
E_2,-0.49,-0.05,-0.41,-1.86
