,T0,T1,T2,D_0
T0,-0.97,-0.81,-0.49,0.49
T1,-0.14,-1.92,0.94,0.0
T2,0.22,-0.0,-2.11,-0.55
D_0,-0.0,0.87,-0.45,-1.43
