,T0,T1,T2,B_1
T0,-0.85,-0.92,0.08,-0.21
T1,-0.05,-2.02,0.81,0.23
T2,-0.31,0.03,-2.12,0.1
B_1,-0.26,0.03,-0.69,-0.16
