,T0,T1,T2,A_0
T0,-0.93,-0.4,-0.09,-0.12
T1,-0.33,-1.82,0.92,-0.65
T2,-0.21,0.03,-2.09,-0.04
A_0,-0.02,-0.11,-0.82,-2.05
