,T0,T1,T2,C_2
T0,-0.84,-0.52,-0.0,0.0
T1,-0.4,-2.03,-0.0,0.49
T2,0.24,0.59,-2.11,-0.3
C_2,-0.83,-0.59,0.2,-1.6
