,T0,T1,T2,A_0
T0,-0.84,-0.45,-0.0,-0.0
T1,-0.43,-1.94,0.0,-0.16
T2,0.25,0.61,-2.1,-0.91
A_0,-0.1,-0.39,-0.28,-2.4
