,T0,T1,T2,E_2
T0,-0.86,-0.45,0.1,0.1
T1,-0.44,-1.93,-0.0,-0.28
T2,0.06,0.61,-2.15,0.48
E_2,-0.0,-0.0,0.0,-2.14
