,T0,T1,T2,B_0
T0,-0.8,-0.97,0.08,0.15
T1,-0.17,-1.98,0.17,-0.04
T2,0.2,0.27,-2.13,-0.04
B_0,-0.27,0.44,-0.21,-1.65
