,T0,T1,T2,C_1
T0,-0.82,-1.63,0.44,0.0
T1,-0.0,-2.08,-0.0,-0.0
T2,-0.02,0.84,-2.06,-0.0
C_1,-0.65,0.03,-0.02,-1.82
