,T0,T1,T2,D_0
T0,-0.82,-1.6,0.37,-0.0
T1,-0.18,-2.27,-0.04,0.97
T2,-0.0,0.78,-2.06,-0.0
D_0,0.14,-0.0,0.0,-1.35
