,T0,T1,T2,E_3
T0,-0.86,-0.17,-0.01,-0.01
T1,-0.97,-1.87,0.71,-0.2
T2,0.0,0.0,-2.07,0.36
E_3,-0.02,-0.15,0.0,-1.85
