,T0,T1,T2,A_1
T0,-0.86,-0.11,0.0,-0.02
T1,-1.07,-1.85,0.72,-0.42
T2,0.04,0.0,-2.01,-0.26
A_1,-0.0,-0.08,-0.83,-2.15
