,T0,T1,T2,B_0
T0,-0.81,-1.0,0.09,-0.0
T1,-0.16,-2.01,0.0,0.34
T2,0.04,0.55,-2.07,-0.24
B_0,-0.06,0.02,-0.04,-1.68
