,T0,T1,T2,C_3
T0,-0.81,-0.96,-0.0,-0.0
T1,-0.16,-2.01,-0.0,0.12
T2,0.1,0.51,-2.11,-0.0
C_3,-0.59,-0.0,-0.0,-0.24
