,T0,T1,T2,C_0
T0,-0.86,-0.25,0.0,-0.32
T1,-0.01,-1.94,0.0,0.18
T2,0.04,0.29,-2.3,-0.28
C_0,-0.43,0.0,-0.13,-1.6
