,T0,T1,T2,A_0
T0,-0.62,-0.4,0.15,-0.0
T1,-0.31,-1.94,0.0,-0.0
T2,0.01,0.22,-2.01,-0.49
A_0,-0.04,-0.0,-0.69,-2.36
