,T0,T1,T2,D_0
T0,-0.59,-0.69,0.01,-0.01
T1,-0.16,-2.12,0.04,0.65
T2,0.14,0.01,-2.06,-0.0
D_0,-0.13,0.0,-0.07,-1.39
