,T0,T1,T2,B_2
T0,-0.59,-0.75,0.01,-0.0
T1,-0.16,-2.19,0.09,0.99
T2,0.14,0.0,-2.06,-0.0
B_2,-0.14,0.0,-0.41,-1.52
