,T0,T1,T2,E_3
T0,-0.85,-0.01,0.17,0.56
T1,-0.56,-1.81,0.16,0.0
T2,0.01,0.2,-2.09,0.23
E_3,-0.41,-0.37,-0.0,-1.84
