,T0,T1,T2,A_0
T0,-0.77,-0.26,0.26,-0.0
T1,-0.22,-1.88,0.16,-0.22
T2,0.05,0.15,-2.04,-0.53
A_0,-0.11,-0.09,-0.59,-2.38
