,T0,T1,T2,B_0
T0,-0.75,-0.75,-0.31,0.41
T1,0.13,-1.98,0.21,-0.2
T2,0.52,-0.06,-2.19,-0.09
B_0,-0.53,0.49,-0.03,-1.7
