,MET (M),KRAS (M),BRAF (M),RB1 (M)
MET (M),-2.75,-1.91,-1.23,-0.0
KRAS (M),-1.96,-0.53,-1.78,-1.52
BRAF (M),-1.24,-1.7,-2.55,-0.69
RB1 (M),-0.0,-1.43,-0.71,-2.85
