,MET (M),KRAS (M),BRAF (M),RB1/13q (Del)
MET (M),-2.58,-2.05,-1.24,-0.89
KRAS (M),-1.94,-0.33,-1.9,-1.56
BRAF (M),-1.27,-1.65,-2.43,-0.83
RB1/13q (Del),-1.06,-1.21,-0.91,-0.85
