,MET (M),KRAS (M),BRAF (M),NF1 (M)
MET (M),-2.73,-1.92,-1.22,-0.29
KRAS (M),-1.97,-0.52,-1.79,-1.25
BRAF (M),-1.24,-1.64,-2.58,-0.04
NF1 (M),-0.3,-0.96,-0.03,-2.54
