,MET (M),KRAS (M),BRAF (M),MYC/8q (Amp)
MET (M),-2.5,-1.73,-1.21,-1.34
KRAS (M),-2.38,-0.27,-1.86,-1.59
BRAF (M),-1.3,-1.62,-2.39,-0.84
MYC/8q (Amp),-1.34,-0.63,-0.76,-0.57
