,MET (M),KRAS (M),BRAF (M),KMT2D (M)
MET (M),-2.75,-1.92,-1.23,-0.07
KRAS (M),-1.98,-0.54,-1.76,-0.98
BRAF (M),-1.25,-1.69,-2.58,-0.0
KMT2D (M),-0.17,-0.79,-0.0,-3.24
