,T0,T1,T2,B_1
T0,-0.6,-0.78,0.21,-0.96
T1,-0.0,-2.03,0.14,0.0
T2,-0.0,0.66,-2.17,0.14
B_1,0.52,0.13,-0.66,-0.12
