,T0,T1,T2,B_2
T0,-0.79,-0.42,0.23,-0.44
T1,0.11,-1.8,-0.32,0.18
T2,-0.39,1.25,-2.23,-0.31
B_2,-0.17,-0.07,0.09,-1.65
