,T0,T1,T2,C_3
T0,-0.94,-0.92,-0.0,0.47
T1,0.21,-2.0,-0.05,0.47
T2,-0.09,1.14,-2.16,-0.44
C_3,-0.74,-0.1,0.01,-0.4
