,T0,T1,T2,E_3
T0,-0.81,-0.84,0.1,0.1
T1,0.32,-1.88,-0.06,0.25
T2,-0.25,1.01,-2.32,0.63
E_3,-0.52,-0.47,-1.01,-1.97
