,T0,T1,T2,A_1
T0,-0.86,-0.7,0.0,-0.1
T1,0.0,-1.88,-0.01,-0.02
T2,-0.09,0.43,-2.2,-0.36
A_1,-0.33,-0.26,-0.34,-2.16
