,T0,T1,T2,D_0
T0,-1.03,-1.01,-0.26,0.63
T1,-0.14,-2.15,-0.0,0.79
T2,0.06,0.31,-2.2,-0.15
D_0,-0.63,-0.0,0.28,-0.56
