,T0,T1,T2,E_3
T0,-0.9,-0.72,0.08,0.28
T1,0.03,-1.85,-0.0,-0.34
T2,-0.21,0.44,-2.2,-0.0
E_3,-0.09,0.0,-0.09,-1.87
