,T0,T1,T2,B_0
T0,-0.88,-0.79,-0.07,0.21
T1,0.01,-1.92,-0.23,0.31
T2,0.0,0.63,-2.18,-0.89
B_0,-0.51,0.03,0.45,-1.54
