,STK11 (M),KEAP1 (M),KRAS (M),MCL1/1q (Amp)
STK11 (M),-1.88,0.0,0.36,0.0
KEAP1 (M),2.44,-2.53,-0.7,-0.0
KRAS (M),-0.0,0.0,-0.43,-0.9
MCL1/1q (Amp),0.18,-0.35,-0.89,-0.37
