,STK11 (M),KEAP1 (M),KRAS (M),FAT1 (M)
STK11 (M),-2.12,2.28,0.0,-0.64
KEAP1 (M),0.0,-2.1,0.03,0.01
KRAS (M),0.24,-0.61,-0.64,-0.11
FAT1 (M),-0.0,0.14,-0.8,-2.89
