,STK11 (M),KEAP1 (M),KRAS (M),ATRX (M)
STK11 (M),-2.12,2.31,0.0,-1.6
KEAP1 (M),-0.0,-2.1,0.0,0.09
KRAS (M),0.27,-0.57,-0.66,0.36
ATRX (M),-0.38,-0.0,0.0,-3.45
