,STK11 (M),KEAP1 (M),KRAS (M),ATM (M)
STK11 (M),-2.05,-0.21,0.78,0.09
KEAP1 (M),2.41,-2.66,-0.05,-2.39
KRAS (M),-0.91,-0.74,-0.62,1.04
ATM (M),-0.73,0.56,-0.19,-2.73
