,STK11 (M),KEAP1 (M),KRAS (M),PIK3CA (M)
STK11 (M),-2.1,2.25,-0.0,-1.06
KEAP1 (M),-0.0,-2.1,0.15,-1.51
KRAS (M),0.29,-0.79,-0.64,-0.11
PIK3CA (M),-1.06,-0.07,-1.22,-2.53
