,T0,T1,T2,C_0
T0,-0.77,-0.78,0.35,-0.71
T1,-0.0,-2.04,-0.0,0.3
T2,-0.0,0.38,-2.05,-0.0
C_0,0.0,0.0,-0.13,-1.76
