,T0,T1,T2,E_1
T0,-0.82,-0.8,0.28,0.0
T1,-0.0,-1.99,-0.0,-0.06
T2,0.0,0.42,-2.06,0.0
E_1,0.15,-0.66,0.41,-2.48
