,T0,T1,T2,B_2
T0,-0.8,-0.89,0.3,-0.15
T1,-0.0,-2.07,0.0,0.45
T2,-0.0,0.37,-2.05,-0.0
B_2,0.01,0.0,-0.36,-1.58
