,T0,T1,T2,E_2
T0,-0.87,-0.03,0.1,-0.0
T1,-1.31,-1.74,0.0,0.0
T2,0.0,0.7,-2.17,-0.01
E_2,0.0,-0.51,-0.05,-2.16
