,T0,T1,T2,B_1
T0,-0.82,-0.41,0.04,-0.01
T1,-0.62,-1.84,-0.0,0.0
T2,0.11,0.65,-2.19,-0.0
B_1,-0.1,0.47,-0.46,-0.01
