,T0,T1,T2,C_2
T0,-0.83,-0.24,0.16,-0.21
T1,-0.84,-1.8,0.0,0.0
T2,0.0,0.68,-2.17,-0.0
C_2,-0.75,0.4,-0.13,-1.6
