,T0,T1,T2,A_0
T0,-0.87,-0.73,0.26,-0.15
T1,-0.15,-1.92,0.0,-0.35
T2,0.0,0.58,-2.11,-0.39
A_0,-0.0,-0.27,-0.77,-2.42
