,T0,T1,T2,C_0
T0,-0.68,-1.53,0.0,0.02
T1,-0.33,-2.07,0.0,-0.02
T2,0.13,1.68,-2.1,-0.17
C_0,-0.03,0.05,-0.08,-1.7
