,T0,T1,T2,A_0
T0,-0.7,-1.53,0.08,0.23
T1,-0.3,-2.04,0.0,-0.65
T2,0.1,1.68,-2.07,-0.66
A_0,-0.0,-0.03,-0.64,-2.24
