,T0,T1,T2,B_0
T0,-0.87,-1.2,0.12,-0.14
T1,-0.26,-2.01,-0.04,0.0
T2,-0.05,0.13,-2.17,0.0
B_0,0.08,0.35,-0.32,-1.68
