,T0,T1,T2,E_1
T0,-0.89,-1.02,0.13,-0.05
T1,-0.37,-1.99,-0.15,0.09
T2,-0.04,0.25,-2.14,-0.67
E_1,-0.0,-0.45,0.0,-2.34
